Protein_A,Protein_B,coexpression,experimentally_determined_interaction,database_annotated,combined_score,automated_textmining,Disease associated,Experimental System,Author,Pubmed ID
ATRIP,TOPBP1,0.062,0.71,0.5,0.999,0.998,cardiovascular diseases,Affinity Capture-Western,Wu CS (2014),24990965
ATRIP,NBN,0.049,0.608,0.5,0.897,0.514,cardiovascular diseases,Affinity Capture-Western,Falck J (2005),15758953
BLM,TOPBP1,0.204,0.543,0.5,0.898,0.505,cardiovascular diseases,Affinity Capture-MS,Wang J (2013),24239288
BLM,NBN,0.06,0.522,0.5,0.925,0.708,cardiovascular diseases,Affinity Capture-Western,Tripathi V (2018),29523790
BLM,TP53,0.059,0.844,0.4,0.932,0.324,cardiovascular diseases,Co-localization,Sengupta S (2004),15364958
BLM,RAD50,0.103,0.724,0.5,0.92,0.423,cardiovascular diseases,Affinity Capture-Western,Acharya S (2014),25084169
BRAP,BRCA1,0.048,0.474,0,0.997,0.995,cardiovascular diseases,Reconstituted Complex,Li S (1998),9497340
BRCA1,ZNF350,0,0.786,0,0.998,0.994,cardiovascular diseases,Reconstituted Complex,Zheng L (2000),11090615
BRCA1,HUS1,0.049,0.421,0.5,0.87,0.585,cardiovascular diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,TOPBP1,0.28,0.994,0.54,0.999,0.9,cardiovascular diseases,Affinity Capture-Western,Greenberg RA (2006),16391231
BRCA1,HERC2,0,0.625,0.5,0.849,0.261,cardiovascular diseases,Affinity Capture-Western,Wu W (2010),20631078
BRCA1,PIAS4,0.049,0.469,0.5,0.897,0.64,cardiovascular diseases,Co-localization,Galanty Y (2009),20016603
BRCA1,NBN,0.068,0.868,0.54,0.993,0.902,cardiovascular diseases,Co-purification,Wang Y (2000),10783165
BRCA1,PMS2,0.085,0.238,0.54,0.95,0.864,cardiovascular diseases,Affinity Capture-MS,Hill SJ (2014),25184681
BRCA1,TP53,0.067,0.895,0.5,0.999,0.999,cardiovascular diseases,Affinity Capture-Western,Abramovitch S (2004),14710355
BRCA1,FANCC,0.152,0.439,0,0.926,0.858,cardiovascular diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,NPM1,0.085,0.304,0,0.773,0.673,cardiovascular diseases,Affinity Capture-MS,Ertych N (2016),26831064
BRCA1,RAD9A,0.074,0.421,0.5,0.895,0.656,cardiovascular diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,ATRIP,0.074,0.777,0.5,0.972,0.761,cardiovascular diseases,Affinity Capture-Western,Venere M (2007),17616665
BRCA1,BRAT1,0.066,0.624,0,0.941,0.847,cardiovascular diseases,Affinity Capture-Western,Aglipay JA (2006),16452482
BRCA1,STAT5A,0.044,0.51,0,0.734,0.479,cardiovascular diseases,Affinity Capture-Western,Vidarsson H (2002),12459499
BRCA1,BLM,0.437,0.691,0.5,0.974,0.742,cardiovascular diseases,Co-purification,Wang Y (2000),10783165
BRCA1,IFI16,0,0.625,0,0.953,0.882,cardiovascular diseases,Affinity Capture-Western,Aglipay JA (2003),14654789
BRCA1,LMO4,0,0.51,0,0.71,0.432,cardiovascular diseases,Affinity Capture-Western,Sum EY (2002),11751867
BRCA1,RAD50,0.072,0.994,0.54,0.999,0.762,cardiovascular diseases,Co-purification,Wang Y (2000),10783165
BRCA1,E2F4,0,0.51,0,0.742,0.496,cardiovascular diseases,Reconstituted Complex,Wang H (1997),9244350
BRCA1,BRD7,0.058,0.292,0,0.816,0.746,cardiovascular diseases,Two-hybrid,Harte MT (2010),20215511
BRCA1,PIAS1,0,0.677,0.4,0.943,0.73,cardiovascular diseases,Co-localization,Galanty Y (2009),20016603
BRD7,TP53,0.103,0.685,0.5,0.99,0.938,cardiovascular diseases,Affinity Capture-Western,Drost J (2010),20228809
BRD7,PIK3R1,0,0.51,0,0.853,0.714,cardiovascular diseases,Reconstituted Complex,Chiu YH (2014),24657164
CCDC106,TP53,0,0.517,0,0.751,0.506,cardiovascular diseases,Two-hybrid,Stelzl U (2005),16169070
E2F4,TP53,0.054,0.211,0.5,0.872,0.699,cardiovascular diseases,Positive Genetic,Guo Y (2019),30762338
FLT3,PIK3R1,0.062,0.374,0.9,0.956,0.353,cardiovascular diseases,Affinity Capture-Western,Hartman AD (2006),16982329
GADD45A,TP53,0,0.069,0.9,0.991,0.913,cardiovascular diseases,Two-hybrid,Vinayagam A (2011),21900206
HERC2,TP53,0.086,0.787,0,0.816,0.128,cardiovascular diseases,Affinity Capture-Western,Cubillos-Rojas M (2014),24722987
HIPK1,TP53,0,0.296,0.9,0.967,0.571,cardiovascular diseases,Affinity Capture-Western,Kondo S (2003),12702766
HUS1,TOPBP1,0.049,0.363,0.5,0.996,0.99,cardiovascular diseases,Affinity Capture-MS,Takeishi Y (2010),20545769
HUS1,RAD9A,0,0.995,0.8,0.999,0.999,cardiovascular diseases,Affinity Capture-Western,Volkmer E (1999),9872989
IFI16,TP53,0.047,0.628,0,0.988,0.971,cardiovascular diseases,Affinity Capture-Western,Dunphy G (2018),30193098
MDM4,TP53,0.093,0.999,0.9,0.999,0.998,cardiovascular diseases,Biochemical Activity,Badciong JC (2002),12393902
NBN,TOPBP1,0.072,0.583,0.5,0.922,0.645,cardiovascular diseases,Affinity Capture-Western,Morishima K (2007),17765870
NBN,RAD50,0.126,0.994,0.9,0.999,0.994,cardiovascular diseases,Co-purification,Wang Y (2000),10783165
NPM1,TP53,0.124,0.847,0.5,0.997,0.967,cardiovascular diseases,Affinity Capture-Western,Kurki S (2004),15144954
NPM1,PIK3R1,0.048,0.162,0.5,0.782,0.518,cardiovascular diseases,Affinity Capture-MS,Crockett DK (2004),14968112
PHC3,TP53,0,0.136,0.5,0.705,0.372,cardiovascular diseases,Affinity Capture-MS,Hauri S (2016),27705803
PHC3,RING1,0,0.667,0.9,0.99,0.744,cardiovascular diseases,Affinity Capture-MS,Gao Z (2012),22325352
PIAS1,TP53,0,0.837,0,0.897,0.397,cardiovascular diseases,Biochemical Activity,Kahyo T (2001),11583632
PIAS4,HERC2,0,0.292,0.8,0.861,0.1,cardiovascular diseases,Affinity Capture-Western,Rendtlew Danielsen J (2012),22508508
PIK3CA,PIK3R1,0.156,0.997,0.967,0.999,0.998,cardiovascular diseases,Affinity Capture-MS,Rosenbluh J (2016),27684187
PIK3R1,BRCA1,0,0.362,0,0.766,0.649,cardiovascular diseases,Reconstituted Complex,Ren SY (2005),16135792
PMS2,FANCC,0.264,0.155,0,0.709,0.571,cardiovascular diseases,Two-hybrid,Arroyo R (2014),24412244
PMS2,XPA,0.049,0.198,0.54,0.897,0.621,cardiovascular diseases,Two-hybrid,Arroyo R (2014),24412244
PPP1R13B,TP53,0,0.594,0.5,0.986,0.937,cardiovascular diseases,Affinity Capture-Western,Gillotin S (2011),21513714
PPP1R13L,TP53,0.044,0.984,0.5,0.999,0.91,cardiovascular diseases,Affinity Capture-Western,Laska MJ (2010),20840860
RAD9A,TOPBP1,0,0.961,0.5,0.999,0.995,cardiovascular diseases,Two-hybrid,Maekiniemi M (2001),11395493
RING1,TP53,0,0.51,0.5,0.819,0.323,cardiovascular diseases,Affinity Capture-Western,Calao M (2012),22907436
TOPBP1,TP53,0,0.619,0.4,0.949,0.796,cardiovascular diseases,Affinity Capture-Western,Liu K (2017),28439015
TOPORS,TP53,0,0.785,0,0.952,0.788,cardiovascular diseases,Two-hybrid,Weger S (2002),11842245
TP53,CABLES1,0,0.512,0,0.864,0.734,cardiovascular diseases,Affinity Capture-Western,Matsuoka M (2003),14637168
TP53,PIAS4,0,0.297,0.9,0.954,0.411,cardiovascular diseases,Two-hybrid,Goehler H (2004),15383276
TP53,NBN,0,0.166,0.5,0.763,0.479,cardiovascular diseases,Affinity Capture-MS,Liu J (2020),32807901
TP53,PMS2,0.049,0.164,0.75,0.936,0.719,cardiovascular diseases,Affinity Capture-MS,Liu J (2020),32807901
TP53,PMS1,0.049,0.164,0,0.706,0.66,cardiovascular diseases,Affinity Capture-MS,Liu J (2020),32807901
TP53,RAD50,0.078,0.253,0.5,0.709,0.256,cardiovascular diseases,Affinity Capture-MS,,35140242
TP53,PRIMA1,0,0.165,0,0.798,0.769,cardiovascular diseases,Negative Genetic,Liu C (2019),30862715
TP53,ZNF420,0.086,0.512,0.5,0.799,0.204,cardiovascular diseases,Reconstituted Complex,Tian C (2009),19377469
USP42,TP53,0,0.292,0.5,0.835,0.572,cardiovascular diseases,Reconstituted Complex,Hock AK (2011),22085928
